player_id,player_name,fargo_rating,rating_status,latest_handicap,handicap_starttime,handicap_tournament_id,games,wins,losses,component
9835810,Navid Eslah,590.4,anchored,519.0,2025-05-14T16:00:00Z,53309998,40,24,16,1
6085717,Jyri Halttu,590.35,anchored,0.0,2020-01-30T19:15:00Z,7224607,31,10,21,1
1006453,Robin Nathan,589.66,anchored,2.0,2026-01-31T10:00:00Z,72236716,242,141,101,1
10585213,Veejay Adriano,589.46,anchored,1.0,2026-01-31T10:00:00Z,72236716,189,112,77,1
1006406,Nina Torvund,589.15,anchored,1.0,2026-01-31T10:00:00Z,72236716,265,152,113,1
12836296,Kochar Habib Mushir,586.67,anchored,2.0,2025-07-05T08:00:00Z,59079793,92,48,44,1
1281902,Bjørn Edvardsen,586.16,anchored,,,,22,12,10,1
11218942,Stein Amundsen,584.67,anchored,522.0,2026-09-16T16:00:00Z,88468552,400,235,165,1
24897019,Robert Hedin,584.45,anchored,512.0,2026-05-20T16:00:00Z,81474325,1169,648,521,1
6425441,Gustav Karlman,583.87,anchored,,,,5,2,3,1
1944633,Abdul Al Rahman Malik,583.86,anchored,,,,6,4,2,1
2084043,Mahmut Mutto,583.58,anchored,0.0,2020-01-30T19:15:00Z,7224607,28,10,18,1
2950122,Mathias Gjerdrum,581.35,anchored,,,,37,25,12,1
1123060,"Paweł ""Mumrikken"" Zalewski",580.03,anchored,535.0,2026-08-19T16:00:00Z,86380657,1164,640,524,1
1006536,Tormod Rygge,579.28,anchored,428.0,2026-08-10T16:00:00Z,86164780,99,61,38,1
28669342,EM Thai,578.28,anchored,,,,12,6,6,1
1295268,Line Kjørsvik,578.26,anchored,,,,12,8,4,1
1061500,Jim Fors,578.05,anchored,76.0,2022-08-17T16:00:00Z,17101861,914,539,375,1
1969407,Alexander Reyes Monsen,578.01,anchored,,,,65,40,25,1
1006415,Olav Skrudland,577.85,anchored,88.0,2022-04-06T16:00:00Z,15105640,29,14,15,1
1006163,Bjørn Bratteberg,577.38,anchored,439.0,2026-09-16T16:00:00Z,88468552,2430,1409,1021,1
13874206,Torvald Asplund Trollhättan BK,575.96,anchored,2.0,2025-07-05T08:00:00Z,59079793,48,22,26,1
16996057,Kristy Wang,574.98,anchored,,,,7,4,3,1
1014998,Ivan Crenn,574.67,anchored,1.0,2019-07-24T16:00:00Z,6015793,33,17,16,1
26698165,Jeff Hagen,574.21,anchored,224.0,2025-04-14T16:00:00Z,58092145,16,10,6,1
1006204,Egil Arne Sørensen,573.94,anchored,2.0,2026-07-04T08:00:00Z,79932562,1186,619,567,1
9221595,Christoffer Sørensen,573.16,anchored,66.0,2021-11-10T17:10:00Z,10580725,22,13,9,1
2684489,Bjørn,573.07,anchored,,,,15,10,5,1
15113617,Fatlum Krasniqi,572.82,anchored,,,,20,8,12,1
59525161,Wojciech Wajda,572.7,anchored,225.0,2026-01-28T17:00:00Z,74911768,42,20,22,1
1279214,Daniel Axeborg,572.57,anchored,3.0,2021-07-17T10:00:00Z,8996878,321,200,121,1
7654573,Sam Musallam Burnieh,572.51,anchored,,,,21,13,8,1
2206237,Eihab Sray aldeen,572.28,anchored,,,,11,8,3,1
7980809,Jan Petter Svendsen,572.17,anchored,374.0,2024-12-04T17:00:00Z,52107349,22,9,13,1
33336508,Paweł Chołodowski,571.23,anchored,,,,27,13,14,1
1006465,Ronny Oldervik,571.03,anchored,0.0,2025-07-05T08:00:00Z,59079793,61,30,31,1
1006450,Robert Farinetti,570.72,anchored,1.0,2026-01-31T10:00:00Z,72236716,166,86,80,1
1006135,Anas Khan,570.66,anchored,4.0,2026-01-31T10:00:00Z,72236716,205,105,100,1
1042164,Lars-Gøran Engerdahl,568.95,anchored,,,,14,6,8,1
1097384,Raymond Hauge,568.35,anchored,,,,8,4,4,1
6839980,Daniel Lorentzen-Styr,567.9,anchored,561.0,2026-09-16T16:00:00Z,88468552,2894,1543,1351,1
1922791,Ole Sandvik,567.43,anchored,,,,24,17,7,1
4765825,Knut Holm,567.32,anchored,,,,172,113,59,1
30913960,Josef Knutsson,567.24,anchored,2.0,2025-12-27T11:00:00Z,71848093,123,61,62,1
2890737,Mirosław Zduńczuk,566.93,anchored,,,,13,8,5,1
6181993,Kim Bjørnstad,566.1,anchored,2.0,2025-07-05T08:00:00Z,59079793,420,271,149,1
7284524,Daniel Hult,566.07,anchored,1.0,2025-07-05T08:00:00Z,59079793,98,46,52,1
1022496,Jozef Kwit,565.91,anchored,464.0,2026-07-08T16:00:00Z,84684754,1543,804,739,1
1006320,Jørgen Nilsen,565.81,anchored,0.0,2025-03-15T09:00:00Z,55383781,23,13,10,1
2021922,Matej Brajkovič,565.54,anchored,,,,8,5,3,1
7153377,Henning Ingvorsen,565.35,anchored,2.0,2026-07-04T08:00:00Z,79932562,584,320,264,1
51736666,Yakup Aliz,564.75,anchored,469.0,2026-09-16T16:00:00Z,88468552,1470,807,663,1
8206764,Grzegorz Tabor,564.7,anchored,384.0,2023-02-04T12:30:00Z,22638577,61,34,27,1
1006292,Jan Thomassen,564.17,anchored,521.0,2026-09-09T16:00:00Z,87717052,846,444,402,1
20637220,Sindre Aarhus Narvestad,563.18,anchored,320.0,2024-07-08T16:00:00Z,44280010,91,48,43,1
1013249,Jan Verner Bjørklund,561.9,anchored,3.0,2020-06-06T11:00:00Z,7911168,27,13,14,1
1157968,Jesper Gustafsson,561.81,anchored,3.0,2026-04-03T13:00:00Z,79209838,128,75,53,1
20124274,Paolo Speciale,561.76,anchored,466.0,2026-05-11T16:00:00Z,81171145,546,297,249,1
1016719,Sebastian Meling,561.4,anchored,89.0,2021-11-17T17:00:00Z,10651603,107,58,49,1
2084760,Adam Rydström,560.03,anchored,0.0,2018-02-01T17:00:00Z,2103827,26,8,18,1
26005654,Jacob Sæther,559.63,anchored,524.0,2026-09-16T16:00:00Z,88468552,2446,1308,1138,1
1006399,Nedzat Cimilji,559.07,anchored,372.0,2026-07-08T16:00:00Z,84684754,232,122,110,1
2431087,Mads Gjefsen,558.96,anchored,,,,40,26,14,1
43127857,Manabu Sekiguchi,558.86,anchored,359.0,2026-08-03T16:00:00Z,85939042,1007,566,441,1
3585947,Didrik Voga Berg,558.78,anchored,80.0,2022-02-23T17:10:00Z,13488412,207,112,95,1
3399547,Per Yngvar Hodnebrog,558.42,anchored,1.0,2025-12-27T11:00:00Z,71848093,24,13,11,1
1006515,Thorbjørn Vildar Dahl Eriksen,558.4,anchored,466.0,2025-10-22T16:00:00Z,70292821,46,24,22,1
1075717,Bjørn Erik Øverland,558.27,anchored,2.0,2020-06-06T11:00:00Z,7911168,707,352,355,1
4935731,Rj Velasquez,557.17,anchored,,,,145,96,49,1
7779625,Løkky Loke,556.18,anchored,,,,16,10,6,1
1006403,Niklas Engström-Øvretveit,556.17,anchored,417.0,2026-09-16T16:00:00Z,88468552,708,369,339,1
2298416,Terje Kristoffersen,555.44,anchored,3.0,2026-01-31T10:00:00Z,72236716,486,242,244,1
1131881,Lars Haakon Lunde,554.3,anchored,,,,64,37,27,1
2049369,Mickey Krause,552.84,anchored,1.0,2019-08-30T14:00:00Z,5976158,18,7,11,1
25875517,Christian Hedin,552.73,anchored,457.0,2026-08-19T16:00:00Z,86380657,902,476,426,1
1034683,Matias Nilsen,552.43,anchored,,,,24,16,8,1
1093760,Mindaugas Jomantas,552.18,anchored,425.0,2026-08-19T16:00:00Z,86380657,2216,1164,1052,1
1061867,Stig Ringebo,552.12,anchored,445.0,2026-05-13T16:00:00Z,81091549,682,343,339,1
6137239,Rudi Mathisen,551.79,anchored,325.0,2023-12-20T17:00:00Z,36216613,79,41,38,1
1006246,Gavin Powell,551.71,anchored,0.0,2021-08-07T10:00:00Z,9028528,20,6,14,1
44184394,Per Arne Grotthing,551.61,anchored,467.0,2026-09-16T16:00:00Z,88468552,1120,574,546,1
1036778,Ronald Natifu,551.19,anchored,9.0,2018-02-17T13:15:00Z,2154912,48,25,23,1
1006145,Aria Senemar,551.16,anchored,502.0,2025-12-10T17:00:00Z,73440613,205,105,100,1
5493801,Rune Greaker,549.91,anchored,,,,31,16,15,1
1934104,Milad Safa,549.25,anchored,,,,22,15,7,1
1141525,Øystein Krøvel,549.13,anchored,,,,15,8,7,1
1000003,Thomas Elmgren Stavang,548.65,anchored,,,,65,28,37,1
15982738,Asgeir Elfar Asgeirsson,548.54,anchored,3.0,2025-07-05T08:00:00Z,59079793,115,60,55,1
2230546,Tor B.,548.23,anchored,,,,90,55,35,1
1024805,Audun Bjerve,547.87,anchored,472.0,2026-09-16T16:00:00Z,88468552,856,443,413,1
13295035,Jan Olav Johnsen,546.7,anchored,2.0,2026-07-04T08:00:00Z,79932562,372,186,186,1
7038973,James Leahy,546.39,anchored,300.0,2026-09-16T16:00:00Z,88468552,22,11,11,1
